CODE,ZONE,ATOLL,ISLAND,SCHOOL NAME - CODE
GS78,North,HA,Kelaa,Sheikh Ibrahim School - GS78
GS39,North,HA,Utheem,Ghaazee Bandaarain School - GS39
GS87,North,HA,Thakandhoo,Shaheed Ali Thakurufuanu School - GS87
GS85,North,HA,Filladhoo,Filladhoo School - GS85
GS08,North,HA,Dhidhdhoo,Ha. Atoll Education Centre - GS08
GS19,North,HA,Hoarafushi,Ha. Atoll school - GS19
GS79,North,HA,Ihavandhoo,Ihavandhoo School - GS79
GS76,North,HA,Baarah,Baarashu School - GS76
GS82,North,HA,Maarandhoo,Maarandhoo School - GS82
GS81,North,HA,Vashafaru,Vashafaru School - GS81
GS84,North,HA,Molhadhoo,Molhadhoo School - GS84
GS83,North,HA,Muraidhoo,Muraidhoo School - GS83
GS86,North,HA,Thurakunu,Thuraakunu School - GS86
GS80,North,HA,Uligam,Uligamu School - GS80
GS72,North,HDH,Kulhudhuffushi,Afeefudin School - GS72
GS53,North,HDH,Kulhudhuffushi,Jalaaludin school - GS53
GS02,North,HDH,Kulhudhuffushi,Hdh.Atoll Education Centre - GS02
GS20,North,HDH,Vaikaradhoo,Hdh.Atoll School - GS20
GS60,North,HDH,Hanimaadhoo,Hanimaadhoo School - GS60
GS99,North,HDH,Finey,Finey School - GS99
GS96,North,HDH,Kumundhoo,Kumundhoo School - GS96
GS95,North,HDH,Kurinbee,Kurinbee School - GS95
GS92,North,HDH,Navaidhoo,Navaidhoo School - GS92
GS90,North,HDH,Nolhivaram,Nolhivaram School - GS90
GS88,North,HDH,Hirimaradhoo,Hirimaradhoo School - GS88
GS97,North,HDH,Makunudhoo,Makunudhoo School - GS97
GS93,North,HDH,Nellaidhoo,Nellaidhoo School - GS93
GS91,North,HDH,Neykurendhoo,Neykurendhoo School - GS91
GS89,North,HDH,Nolhivaranfaru,Nolhivaranfaru School - GS89
GS212,North,SH,Maroshi,Munavvara School - GS212
GS9,North,SH,Komanndoo,Sh. Atoll Education Centre - GS9
GS34,North,SH,Kanditheem,Sh. Atoll School - GS34
GS108,North,SH,Feevaku,Feevaku School - GS108
GS107,North,SH,Foakaidhoo,Foakaidhoo School - GS107
GS69,North,SH,Milandhoo,Milandhoo School - GS69
GS103,North,SH,Bileyffahi,Bileyfahee School - GS103
GS109,North,SH,Feydhoo,Feydhoo School - GS109
GS110,North,SH,Goidhoo,Goidhoo School - GS110
GS104,North,SH,Lhaimagu,Lhaimagu School - GS104
GS101,North,SH,Narudhoo,Narudhoo School - GS101
GS102,North,SH,Noomara,Noomaraa School - GS102
GS59,North,SH,Funadhoo,Funadhoo School - GS59
GS106,North,SH,Maau'ngoodhoo,Maaungoodhoo School - GS106
GS07,North Central,N,Velidhoo,N. Atoll Education Centre - GS07
GS35,North Central,N,Manadhoo,N. Atoll school - GS35
GS118,North Central,N,Fodhdhoo,Fodhdhoo School - GS118
GS111,North Central,N,Henbadhoo,Henbadhoo School - GS111
GS47,North Central,N,Holhudhoo,Meyna School - GS47
GS67,North Central,N,Kendhikulhudhoo,Kendhikulhudhoo School - GS67
GS113,North Central,N,Kudafaree,Kudafaree School - Gs113
GS119,North Central,N,Landhoo,Landhoo School - GS119
GS112,North Central,N,Lhohee,Lhohee School - GS112
GS115,North Central,N,Maafaru,Maafaru Schoool - GS115
GS114,North Central,N,Maalhendhoo,Maalhendhoo School - GS114
GS117,North Central,N,Magoodhoo,Magoodhoo School - GS117
GS116,North Central,N,Miladhoo,Hidhaya School - GS116
GS15,North Central,R,Meedhoo,R. Atoll Education Centre - GS15
GS18,North Central,R,Dhuvaafaru,R. Atoll school - GS18
GS125,North Central,R,Anglolhitheem,Angolhitheemu School - GS125
GS129,North Central,R,Fainu,Fainu School - GS129
GS124,North Central,R,Inguraidhoo,Inguraidhoo School - GS124
GS123,North Central,R,Innamadhoo,Innamaadhoo School - GS123
GS122,North Central,R,Kinolhas,Kinolhahu School - GS122
GS127,North Central,R,Maakurathu,Maakurathu School - GS127
GS121,North Central,R,Rasgetheem,Rasgetheemu School - GS121
GS120,North Central,R,Rasmaadhoo,Rasmaadhoo School - GS120
GS68,North Central,R,Alifushi,Alifushi School - GS68
GS210,North Central,R,Ungoofaru,Ungoofaaru School - GS210
