centre_No,centre_name_eng,cand_no,Sex,ccode,subject,grade
MV010,AMINIYA SCHOOL,1,F,MV0100001,Dhivehi,U
MV010,AMINIYA SCHOOL,1,F,MV0100001,Islam,U
MV010,AMINIYA SCHOOL,3,M,MV0100003,Islam,U
MV010,AMINIYA SCHOOL,4,M,MV0100004,Dhivehi,B
MV010,AMINIYA SCHOOL,4,M,MV0100004,Islam,C
MV010,AMINIYA SCHOOL,5,M,MV0100005,Dhivehi,E
MV010,AMINIYA SCHOOL,5,M,MV0100005,Islam,E
MV010,AMINIYA SCHOOL,6,F,MV0100006,Islam,D
MV010,AMINIYA SCHOOL,7,F,MV0100007,Dhivehi,B
MV010,AMINIYA SCHOOL,7,F,MV0100007,Islam,B
MV010,AMINIYA SCHOOL,8,M,MV0100008,Dhivehi,C
MV010,AMINIYA SCHOOL,8,M,MV0100008,Islam,D
MV010,AMINIYA SCHOOL,10,M,MV0100010,Dhivehi,A
MV010,AMINIYA SCHOOL,10,M,MV0100010,Islam,C
MV010,AMINIYA SCHOOL,11,M,MV0100011,Dhivehi,B
MV010,AMINIYA SCHOOL,11,M,MV0100011,Islam,D
MV010,AMINIYA SCHOOL,12,M,MV0100012,Dhivehi,C
MV010,AMINIYA SCHOOL,12,M,MV0100012,Islam,C
MV010,AMINIYA SCHOOL,13,M,MV0100013,Dhivehi,A
MV010,AMINIYA SCHOOL,13,M,MV0100013,Islam,A
MV010,AMINIYA SCHOOL,14,M,MV0100014,Dhivehi,B
MV010,AMINIYA SCHOOL,14,M,MV0100014,Islam,C
MV010,AMINIYA SCHOOL,15,M,MV0100015,Dhivehi,D
MV010,AMINIYA SCHOOL,15,M,MV0100015,Islam,D
MV010,AMINIYA SCHOOL,16,M,MV0100016,Dhivehi,D
MV010,AMINIYA SCHOOL,16,M,MV0100016,Islam,D
MV010,AMINIYA SCHOOL,17,M,MV0100017,Dhivehi,A
MV010,AMINIYA SCHOOL,17,M,MV0100017,Islam,B
MV010,AMINIYA SCHOOL,19,M,MV0100019,Dhivehi,B
MV010,AMINIYA SCHOOL,19,M,MV0100019,Islam,B
MV010,AMINIYA SCHOOL,20,M,MV0100020,Dhivehi,C
MV010,AMINIYA SCHOOL,20,M,MV0100020,Islam,C
MV010,AMINIYA SCHOOL,21,M,MV0100021,Dhivehi,A
MV010,AMINIYA SCHOOL,21,M,MV0100021,Islam,A
MV010,AMINIYA SCHOOL,22,M,MV0100022,Dhivehi,B
MV010,AMINIYA SCHOOL,22,M,MV0100022,Islam,B
MV010,AMINIYA SCHOOL,23,M,MV0100023,Dhivehi,D
MV010,AMINIYA SCHOOL,23,M,MV0100023,Islam,C
MV010,AMINIYA SCHOOL,24,M,MV0100024,Dhivehi,C
MV010,AMINIYA SCHOOL,24,M,MV0100024,Islam,C
MV010,AMINIYA SCHOOL,25,M,MV0100025,Dhivehi,E
MV010,AMINIYA SCHOOL,25,M,MV0100025,Islam,D
MV010,AMINIYA SCHOOL,26,M,MV0100026,Dhivehi,B
MV010,AMINIYA SCHOOL,26,M,MV0100026,Islam,A
MV010,AMINIYA SCHOOL,28,M,MV0100028,Dhivehi,D
MV010,AMINIYA SCHOOL,28,M,MV0100028,Islam,D
MV010,AMINIYA SCHOOL,29,M,MV0100029,Dhivehi,B
MV010,AMINIYA SCHOOL,29,M,MV0100029,Islam,A
MV010,AMINIYA SCHOOL,30,M,MV0100030,Dhivehi,C
MV010,AMINIYA SCHOOL,30,M,MV0100030,Islam,C
MV010,AMINIYA SCHOOL,31,F,MV0100031,Dhivehi,A
MV010,AMINIYA SCHOOL,31,F,MV0100031,Islam,B
MV010,AMINIYA SCHOOL,32,F,MV0100032,Dhivehi,C
MV010,AMINIYA SCHOOL,33,F,MV0100033,Dhivehi,B
MV010,AMINIYA SCHOOL,33,F,MV0100033,Islam,B
MV010,AMINIYA SCHOOL,34,F,MV0100034,Dhivehi,B
MV010,AMINIYA SCHOOL,34,F,MV0100034,Islam,B
MV010,AMINIYA SCHOOL,35,F,MV0100035,Dhivehi,B
MV010,AMINIYA SCHOOL,35,F,MV0100035,Islam,A
MV010,AMINIYA SCHOOL,36,F,MV0100036,Dhivehi,C
MV010,AMINIYA SCHOOL,36,F,MV0100036,Islam,C
MV010,AMINIYA SCHOOL,37,F,MV0100037,Dhivehi,B
MV010,AMINIYA SCHOOL,37,F,MV0100037,Islam,C
MV010,AMINIYA SCHOOL,38,F,MV0100038,Dhivehi,A
MV010,AMINIYA SCHOOL,38,F,MV0100038,Islam,B
MV010,AMINIYA SCHOOL,39,F,MV0100039,Dhivehi,C
MV010,AMINIYA SCHOOL,39,F,MV0100039,Islam,C
MV010,AMINIYA SCHOOL,40,F,MV0100040,Dhivehi,B
MV010,AMINIYA SCHOOL,40,F,MV0100040,Islam,A
MV010,AMINIYA SCHOOL,41,F,MV0100041,Dhivehi,C
MV010,AMINIYA SCHOOL,41,F,MV0100041,Islam,C
MV010,AMINIYA SCHOOL,42,F,MV0100042,Dhivehi,B
MV010,AMINIYA SCHOOL,42,F,MV0100042,Islam,C
MV010,AMINIYA SCHOOL,43,F,MV0100043,Dhivehi,B
MV010,AMINIYA SCHOOL,43,F,MV0100043,Islam,B
MV010,AMINIYA SCHOOL,44,F,MV0100044,Dhivehi,A
MV010,AMINIYA SCHOOL,44,F,MV0100044,Islam,B
MV010,AMINIYA SCHOOL,45,F,MV0100045,Dhivehi,A
MV010,AMINIYA SCHOOL,45,F,MV0100045,Islam,C
MV010,AMINIYA SCHOOL,46,F,MV0100046,Dhivehi,D
MV010,AMINIYA SCHOOL,47,F,MV0100047,Dhivehi,A
MV010,AMINIYA SCHOOL,47,F,MV0100047,Islam,A
MV010,AMINIYA SCHOOL,48,F,MV0100048,Dhivehi,C
MV010,AMINIYA SCHOOL,48,F,MV0100048,Islam,D
MV010,AMINIYA SCHOOL,49,F,MV0100049,Dhivehi,A
MV010,AMINIYA SCHOOL,49,F,MV0100049,Islam,B
MV010,AMINIYA SCHOOL,50,F,MV0100050,Dhivehi,E
MV010,AMINIYA SCHOOL,51,F,MV0100051,Dhivehi,D
MV010,AMINIYA SCHOOL,51,F,MV0100051,Islam,D
MV010,AMINIYA SCHOOL,52,F,MV0100052,Dhivehi,B
MV010,AMINIYA SCHOOL,52,F,MV0100052,Islam,A
MV010,AMINIYA SCHOOL,53,F,MV0100053,Dhivehi,C
MV010,AMINIYA SCHOOL,53,F,MV0100053,Islam,C
MV010,AMINIYA SCHOOL,54,F,MV0100054,Dhivehi,D
MV010,AMINIYA SCHOOL,54,F,MV0100054,Islam,D
MV010,AMINIYA SCHOOL,55,F,MV0100055,Dhivehi,B
MV010,AMINIYA SCHOOL,55,F,MV0100055,Islam,C
MV010,AMINIYA SCHOOL,56,M,MV0100056,Dhivehi,B
MV010,AMINIYA SCHOOL,56,M,MV0100056,Islam,B
MV010,AMINIYA SCHOOL,57,M,MV0100057,Dhivehi,C
MV010,AMINIYA SCHOOL,57,M,MV0100057,Islam,C
MV010,AMINIYA SCHOOL,58,M,MV0100058,Dhivehi,B
MV010,AMINIYA SCHOOL,58,M,MV0100058,Islam,B
MV010,AMINIYA SCHOOL,59,F,MV0100059,Dhivehi,C
MV010,AMINIYA SCHOOL,59,F,MV0100059,Islam,C
MV010,AMINIYA SCHOOL,60,F,MV0100060,Dhivehi,C
MV010,AMINIYA SCHOOL,61,F,MV0100061,Dhivehi,C
MV010,AMINIYA SCHOOL,61,F,MV0100061,Islam,C
MV010,AMINIYA SCHOOL,62,F,MV0100062,Dhivehi,C
MV010,AMINIYA SCHOOL,62,F,MV0100062,Islam,C
MV010,AMINIYA SCHOOL,63,F,MV0100063,Dhivehi,D
MV010,AMINIYA SCHOOL,63,F,MV0100063,Islam,E
MV010,AMINIYA SCHOOL,64,F,MV0100064,Dhivehi,B
MV010,AMINIYA SCHOOL,64,F,MV0100064,Islam,C
MV010,AMINIYA SCHOOL,65,F,MV0100065,Dhivehi,A
MV010,AMINIYA SCHOOL,65,F,MV0100065,Islam,B
MV010,AMINIYA SCHOOL,66,F,MV0100066,Dhivehi,A
MV010,AMINIYA SCHOOL,66,F,MV0100066,Islam,A
MV010,AMINIYA SCHOOL,67,F,MV0100067,Dhivehi,B
MV010,AMINIYA SCHOOL,67,F,MV0100067,Islam,B
MV010,AMINIYA SCHOOL,68,F,MV0100068,Dhivehi,C
MV010,AMINIYA SCHOOL,69,F,MV0100069,Dhivehi,C
MV010,AMINIYA SCHOOL,69,F,MV0100069,Islam,C
